"filename", "language", "Markdown", "XML", "HTML", "JSON", "Java", "YAML", "Java Properties", "comment", "blank", "total"
"c:\Users\USER\Documents\GitHub\spinnovators\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 19, 0, 0, 7, 26
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\pom.xml", "XML", 0, 136, 0, 0, 0, 0, 0, 0, 1, 137
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\OpenBudgetApplication.java", "Java", 0, 0, 0, 0, 274, 0, 0, 18, 48, 340
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\authentication\FirstLogin.java", "Java", 0, 0, 0, 0, 32, 0, 0, 16, 10, 58
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\data\MinistryDataInput.java", "Java", 0, 0, 0, 0, 130, 0, 0, 90, 31, 251
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\editor\EnvBudgetEditor.java", "Java", 0, 0, 0, 0, 40, 0, 0, 19, 13, 72
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\envdatamodel\EnvBudgetData.java", "Java", 0, 0, 0, 0, 22, 0, 0, 24, 12, 58
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\envdatamodel\EnvEntry.java", "Java", 0, 0, 0, 0, 22, 0, 0, 7, 9, 38
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\envdatamodel\EnvSector.java", "Java", 0, 0, 0, 0, 29, 0, 0, 29, 10, 68
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\envdatamodel\EnvUnit.java", "Java", 0, 0, 0, 0, 29, 0, 0, 8, 8, 45
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\envdatamodel\EnvYear.java", "Java", 0, 0, 0, 0, 40, 0, 0, 44, 14, 98
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\envdatamodel\EsgCategory.java", "Java", 0, 0, 0, 0, 19, 0, 0, 48, 9, 76
